G2.L2TV,G2.CPD,G2.TNL,G2.TTXD1_9
1.0,79.42190552,88.66688538,837.0272217
1.0,79.19156647,88.62957764,836.4783936
1.0,79.47956085,88.63813782,837.9227295
1.0,79.35727692,88.53125,837.0903931
1.0,79.38596344,88.51142883,836.8273315
1.0,79.11256409,88.30368042,834.5901489
1.0,78.91822815,87.97776794,834.7368164
1.0,78.91132355,87.5231781,824.0631714
1.0,79.08376312,87.7015152,821.2662354
1.0,79.04793549,87.90071869,819.5082397
1.0,79.4291687,87.80460358,817.84552
1.0,78.93267059,87.25688171,816.1173706
1.0,78.90402222,88.06791687,819.0358887
1.0,79.19898224,88.60971069,820.5633545
1.0,80.12701416,89.33862305,825.6619873
1.0,80.17750549,89.96733093,828.192688
1.0,79.47943878,89.71917725,827.1463013
1.0,79.81767273,89.91822052,831.1966553
1.0,80.16306305,90.12162781,833.3474731
1.0,80.01192474,90.12826538,835.0087891
1.0,79.91126251,89.99285126,837.7401733
1.0,80.41479492,90.21655273,838.7684326
1.0,79.91126251,89.71635437,840.1192017
1.0,80.0695343,89.59435272,839.7836914
1.0,79.73139191,89.73828888,839.6573486
1.0,79.82493591,89.77246094,840.3781738
1.0,79.40763855,89.63811493,840.569397
1.0,80.09117126,90.01082611,844.3840942
1.0,79.66654205,90.08782196,844.9462891
1.0,79.56585693,89.86287689,846.9174194
1.0,79.66654205,89.97205353,849.2302856
1.0,79.68097687,90.03289795,850.335144
1.0,79.92572021,90.34883118,852.5966797
1.0,80.38610077,90.80122375,855.4646606
1.0,79.8319931,90.92170715,854.2161255
1.0,80.26390839,90.96999359,856.793396
1.0,80.12702942,90.96516418,857.8422241
1.0,79.975914,91.09091949,859.6712646
1.0,80.18462372,91.15102386,861.1671143
1.0,80.02631378,90.99641418,861.1674805
1.0,80.16323853,91.14326477,862.7477417
1.0,80.06951904,91.09608459,863.1414185
1.0,80.42926788,91.34316254,865.8361206
1.0,79.90393829,91.37760925,865.487915
1.0,80.24946594,91.24359894,865.9533691
1.0,80.38601685,91.00189209,867.2781372
1.0,79.94006348,90.73966217,867.0537109
1.0,79.96879578,90.69226837,868.758667
1.0,80.01206207,91.25040436,870.2869263
1.0,80.60187531,91.43807983,873.9623413
1.0,80.01196289,91.21704102,871.642395
1.0,79.73131561,90.96516418,870.9866943
1.0,79.88248444,90.79769897,874.0148926
1.0,79.86076355,90.89887238,874.8961792
1.0,79.6233902,90.91784668,873.1216431
1.0,80.53018188,91.3769455,879.0943604
1.0,79.81775665,91.21994781,874.5058594
1.0,80.28527832,91.79576874,880.3835449
1.0,80.429245,91.82528687,879.3255005
1.0,79.97598267,91.54232788,877.350647
1.0,79.89692688,91.54460144,881.2001343
