Time,G2.L2TV,G2.CPD,G2.TNL,G2.TTXD1_9,G2.L63QT_P_TRP,G2.L12HFD_P,G2.L12HFD_C
3/28/2025 02:05:33.797,1.0,80.27094269,89.42473602,841.4892578,0.0,0.0,0.0
3/28/2025 02:15:34.117,1.0,79.93267822,89.23468018,840.8182983,0.0,0.0,0.0
3/28/2025 02:25:34.437,1.0,80.06240082,89.25421143,841.4765015,0.0,0.0,0.0
3/28/2025 02:35:34.757,1.0,79.78892517,89.0787735,839.4518433,0.0,0.0,0.0
3/28/2025 02:45:35.077,1.0,79.89675903,88.94772339,833.9087524,0.0,0.0,0.0
3/28/2025 02:55:35.397,1.0,79.70253754,88.67759705,831.708252,0.0,0.0,0.0
3/28/2025 03:05:35.717,1.0,79.97611237,88.93663788,837.1272583,0.0,0.0,0.0
3/28/2025 03:15:36.037,1.0,79.86089325,88.83148956,833.1392822,0.0,0.0,0.0
3/28/2025 03:25:36.357,1.0,80.08392334,88.88679504,832.7116089,0.0,0.0,0.0
3/28/2025 03:35:36.677,1.0,80.32116699,89.08402252,833.6907959,0.0,0.0,0.0
3/28/2025 03:45:36.997,1.0,79.98317719,89.12542725,834.7666626,0.0,0.0,0.0
3/28/2025 03:55:37.317,1.0,79.79610443,88.88833618,835.7149658,0.0,0.0,0.0
3/28/2025 04:05:37.637,1.0,80.11991882,89.09359741,836.8435669,0.0,0.0,0.0
3/28/2025 04:15:37.957,1.0,79.17011261,88.45232391,835.708313,0.0,0.0,0.0
3/28/2025 04:25:38.277,1.0,79.46516418,88.65648651,835.7563477,0.0,0.0,0.0
3/28/2025 04:35:38.597,1.0,79.70983887,88.75018311,836.9141235,0.0,0.0,0.0
3/28/2025 04:45:38.917,1.0,79.05499268,88.58252716,836.6098022,0.0,0.0,0.0
3/28/2025 04:55:39.237,1.0,79.20619202,88.53856659,836.3355103,0.0,0.0,0.0
3/28/2025 05:05:39.557,1.0,79.32130432,88.7069931,836.9454346,0.0,0.0,0.0
3/28/2025 05:15:39.877,1.0,79.34281158,88.56573486,837.3001099,0.0,0.0,0.0
3/28/2025 05:25:40.197,1.0,78.94705963,88.39450836,836.6011353,0.0,0.0,0.0
3/28/2025 05:35:40.517,1.0,79.09819794,88.21425629,833.6519775,0.0,0.0,0.0
3/28/2025 05:45:40.837,1.0,79.00479126,88.01513672,832.3139038,0.0,0.0,0.0
3/28/2025 05:55:41.157,1.0,79.1989212,87.60374451,823.87854,0.0,0.0,0.0
3/28/2025 06:05:41.477,1.0,79.33555603,87.88448334,823.3238525,0.0,0.0,0.0
3/28/2025 06:15:41.797,1.0,78.97592163,87.82080841,819.3340454,0.0,0.0,0.0
3/28/2025 06:25:42.117,1.0,79.30678558,87.77310944,817.2321777,0.0,0.0,0.0
3/28/2025 06:35:42.437,1.0,78.86784363,87.31262207,815.9324341,0.0,0.0,0.0
3/28/2025 06:45:42.757,1.0,79.27803802,88.29154205,818.9819336,0.0,0.0,0.0
3/28/2025 06:55:43.077,1.0,79.23474121,88.64608765,821.7248535,0.0,0.0,0.0
3/28/2025 07:05:43.397,1.0,79.81774139,89.40887451,825.607666,0.0,0.0,0.0
3/28/2025 07:15:43.717,1.0,80.09841156,89.96984863,828.4827271,0.0,0.0,0.0
3/28/2025 07:25:44.037,1.0,80.11270142,89.88550568,828.682312,0.0,0.0,0.0
3/28/2025 07:35:44.357,1.0,80.01921844,89.99978638,831.6426392,0.0,0.0,0.0
3/28/2025 07:45:44.677,1.0,79.94714355,90.09098053,833.1673584,0.0,0.0,0.0
3/28/2025 07:55:44.997,1.0,80.40765381,90.33072662,835.5968628,0.0,0.0,0.0
3/28/2025 08:05:45.317,1.0,80.73153687,90.28945923,838.1021729,0.0,0.0,0.0
3/28/2025 08:15:45.637,1.0,80.26377869,90.14755249,838.168457,0.0,0.0,0.0
3/28/2025 08:25:45.957,1.0,79.91118622,89.72480774,839.5464478,0.0,0.0,0.0
3/28/2025 08:35:46.277,1.0,80.04077911,89.66939545,839.0272827,0.0,0.0,0.0
3/28/2025 08:45:46.597,1.0,79.61631012,89.71071625,839.9101563,0.0,0.0,0.0
3/28/2025 08:55:46.917,1.0,79.73142242,89.6844101,840.2111816,0.0,0.0,0.0
3/28/2025 09:05:47.237,1.0,79.91851807,89.8141861,841.3213501,0.0,0.0,0.0
3/28/2025 09:15:47.557,1.0,80.08382416,90.08908844,844.0303955,0.0,0.0,0.0
3/28/2025 09:25:47.877,1.0,79.68824768,90.05341339,845.4553833,0.0,0.0,0.0
3/28/2025 09:35:48.197,1.0,79.7385788,89.92420197,847.6032715,0.0,0.0,0.0
3/28/2025 09:45:48.517,1.0,79.81775665,89.96543884,849.1508179,0.0,0.0,0.0
3/28/2025 09:55:48.837,1.0,79.58029175,90.03069305,850.8831787,0.0,0.0,0.0
3/28/2025 10:05:49.157,1.0,80.08390808,90.36472321,853.3272705,0.0,0.0,0.0
3/28/2025 10:15:49.477,1.0,79.83924866,90.64299774,853.6499634,0.0,0.0,0.0
3/28/2025 10:25:49.797,1.0,80.25653076,90.96065521,856.3607178,0.0,0.0,0.0
3/28/2025 10:35:50.117,1.0,80.23477173,90.96999359,856.7383423,0.0,0.0,0.0
3/28/2025 10:45:50.437,1.0,80.09830475,90.90691376,857.2057495,0.0,0.0,0.0
3/28/2025 10:55:50.757,1.0,80.65965271,91.30908966,860.3703613,0.0,0.0,0.0
3/28/2025 11:05:51.077,1.0,80.27824402,91.13389587,860.4385376,0.0,0.0,0.0
3/28/2025 11:15:51.397,1.0,79.83947754,90.95969391,861.5321655,0.0,0.0,0.0
3/28/2025 11:25:51.717,1.0,80.1344986,91.09577179,862.5702515,0.0,0.0,0.0
3/28/2025 11:35:52.037,1.0,80.47250366,91.28346252,864.6811523,0.0,0.0,0.0
3/28/2025 11:45:52.357,1.0,79.92572021,91.147789,864.4369507,0.0,0.0,0.0
3/28/2025 11:55:52.677,1.0,80.63793182,91.61673737,868.0396118,0.0,0.0,0.0
3/28/2025 12:05:52.997,1.0,80.52284241,91.32271576,865.9401245,0.0,0.0,0.0
3/28/2025 12:15:53.317,1.0,79.68108368,90.81439209,865.6083984,0.0,0.0,0.0
3/28/2025 12:25:53.637,1.0,79.94721222,90.75857544,867.4413452,0.0,0.0,0.0
3/28/2025 12:35:53.957,1.0,79.99035645,90.71659851,869.1888428,0.0,0.0,0.0
3/28/2025 12:45:54.277,1.0,80.39328766,91.36200714,870.7532349,0.0,0.0,0.0
3/28/2025 12:55:54.597,1.0,79.94007874,91.12548828,872.9958496,0.0,0.0,0.0
3/28/2025 13:05:54.917,1.0,79.84640503,91.02574158,870.8816528,0.0,0.0,0.0
3/28/2025 13:15:55.237,1.0,80.3861618,91.15167236,875.2339478,0.0,0.0,0.0
3/28/2025 13:25:55.557,1.0,79.83200836,90.80186462,874.6561279,0.0,0.0,0.0
3/28/2025 13:35:55.877,1.0,79.50830078,90.81406403,876.0661011,0.0,0.0,0.0
3/28/2025 13:45:56.197,1.0,80.24938202,91.21282196,875.9442749,0.0,0.0,0.0
3/28/2025 13:55:56.517,1.0,80.32141876,91.29903412,876.4302979,0.0,0.0,0.0
3/28/2025 14:05:56.837,1.0,80.40050507,91.50679016,877.7637939,0.0,0.0,0.0
3/28/2025 14:15:57.157,1.0,79.93998718,91.55340576,877.6331787,0.0,0.0,0.0
3/28/2025 14:25:57.477,1.0,79.70983887,91.46802521,877.5343018,0.0,0.0,0.0
3/28/2025 14:35:57.797,1.0,79.85370636,91.51754761,877.2670898,0.0,0.0,0.0
3/28/2025 14:45:58.117,1.0,80.0981369,91.55928802,880.7642822,0.0,0.0,0.0
3/28/2025 14:55:58.437,1.0,79.95441437,91.42344666,879.5283203,0.0,0.0,0.0
